재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기,Unnamed: 15
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      당기손익-공정가치측정 금융상품관련 순이익(손실),"30,504,964,238","-24,513,224,693","4,926,893,199",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      영업외순이익(손실),"-5,523,404,394","-9,006,845,920","-2,426,232,852",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      보통주기본주당이익(손실),959,780,744,
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      총포괄손익,"182,017,633,571","151,779,349,412","140,992,947,597",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      순수수료손익,"-1,908,453,999","-2,651,288,730","-3,817,692,322",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         수수료비용,"3,848,512,459","3,671,977,273","5,317,580,726",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         수수료수익,"1,940,058,460","1,020,688,543","1,499,888,404",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      법인세비용(수익),"5,146,915,806","-8,384,454,735","717,046,850",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      순이자손익,"-30,676,296,860","-23,501,193,045","-15,286,849,308",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이자비용,"32,207,862,430","25,673,535,831","17,943,333,771",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이자수익,"1,531,565,570","2,172,342,786","2,656,484,463",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      기타포괄손익,"-1,058,739,991","1,542,736,441","310,500,463",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      당기순이익,"183,076,373,562","150,236,612,971","140,682,447,134",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      법인세차감전순이익(손실),"188,223,289,368","141,852,158,236","141,399,493,984",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      영업이익(손실),"193,746,693,762","150,859,004,156","143,825,726,836",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      배당수익,"231,085,165,983","234,244,252,567","186,642,118,425",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      신용손실충당금 전입(환입)액,"-229,981,412","-51,474,782","99,956,337",
손익계산서,139130,DGB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      일반관리비,"35,488,667,012","32,771,016,725","28,538,786,821",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      영업외손익,"204,208,750","36,733,685","40,226,665",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,         영업외비용,"73,774,640","43,482,341","36,640,601",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,         영업외수익,"277,983,390","80,216,026","76,867,266",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      총포괄손익,"8,880,952,160","7,471,803,658","6,079,704,962",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,         보통주기본주당이익(손실),444,374,304,
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,         보통주희석주당이익(손실),444,374,301,
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      법인세비용,"1,928,921,695","1,855,402,990","1,732,992,869",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      영업비용,"9,910,969,522","6,638,380,571","3,655,192,697",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      당기순이익(손실),"8,880,952,160","7,471,803,658","6,079,704,962",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      법인세차감전순이익,"10,809,873,855","9,327,206,648","7,812,697,831",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      영업이익(손실),"10,605,665,105","9,290,472,963","7,772,471,166",
손익계산서,440290,HB인베스트먼트,코스닥시장상장법인,649,기타 금융업,KRW,      영업수익,"20,516,634,627","15,928,853,534","11,427,663,863",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      당기손익-공정가치측정금융상품관련손익,"6,674,000,000","-15,906,000,000","-2,133,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      영업외손익,"-164,000,000","-209,000,000","-150,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      총포괄손익,"193,438,000,000","340,518,000,000","129,400,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         보통주기본주당이익(손실),888,"1,654",567,
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      순수수료손익,"13,332,000,000","8,582,000,000","7,678,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         수수료비용,"-4,092,000,000","-2,799,000,000","-2,496,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         수수료수익,"17,424,000,000","11,381,000,000","10,174,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      법인세비용,"-7,065,000,000","4,464,000,000","743,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      순이자손익,"-7,185,000,000","-7,161,000,000","-8,334,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이자비용,"-22,292,000,000","-16,786,000,000","-13,780,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         이자수익,"15,107,000,000","9,625,000,000","5,446,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            유효이자율적용이자수익,"15,107,000,000","9,625,000,000","5,446,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      기타포괄손익,"-962,000,000","299,000,000","399,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            확정급여제도의재측정요소,"-962,000,000","299,000,000","399,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      당기순이익(손실),"194,400,000,000","340,219,000,000","129,001,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      법인세차감전순이익,"201,465,000,000","335,755,000,000","128,258,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      영업이익(손실),"201,629,000,000","335,964,000,000","128,408,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      배당수익,"222,186,000,000","378,610,000,000","156,082,000,000",
손익계산서,175330,JB금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      판매비와관리비,"-33,378,000,000","-28,161,000,000","-24,885,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      당기손익-공정가치측정금융상품순손익,"108,399,000,000","-11,794,000,000","20,250,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      영업외손익,"4,606,000,000","908,000,000","1,165,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      영업이익,"2,132,395,000,000","1,668,341,000,000","1,435,420,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      신용손실충당금 반영전 영업손익,"2,132,941,000,000","1,668,644,000,000","1,435,837,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      신용손실충당금 전입액,"546,000,000","303,000,000","417,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      당기총포괄이익,"2,120,282,000,000","1,686,995,000,000","1,438,568,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         기본주당이익,"5,042","3,999","3,509",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         희석주당이익,"4,929","3,912","3,436",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      순수수료손익,"-10,387,000,000","-8,686,000,000","-8,157,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         수수료비용,"12,972,000,000","12,085,000,000","9,132,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         수수료수익,"2,585,000,000","3,399,000,000","975,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      법인세수익(비용),"15,757,000,000","-15,263,000,000","-2,281,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      순이자손익,"-64,853,000,000","-92,951,000,000","-111,077,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         이자비용,"99,980,000,000","112,353,000,000","120,469,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,         이자수익,"35,127,000,000","19,402,000,000","9,392,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,            상각후원가측정 금융상품 이자수익,"31,932,000,000","16,525,000,000","6,548,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,            당기손익-공정가치측정 금융상품 이자수익,"3,195,000,000","2,877,000,000","2,844,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      법인세비용차감후 당기기타포괄손익,"-962,000,000","2,483,000,000","-298,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,            순확정급여부채의 재측정요소,"-962,000,000","2,483,000,000","-298,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      기타영업손익,"2,192,385,000,000","1,871,224,000,000","1,620,238,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      당기순이익,"2,121,244,000,000","1,684,512,000,000","1,438,866,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      법인세비용차감전당기순이익,"2,137,001,000,000","1,669,249,000,000","1,436,585,000,000",
손익계산서,105560,KB금융,유가증권시장상장법인,649,기타 금융업,KRW,      일반관리비,"92,603,000,000","89,149,000,000","85,417,000,000",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,      영업외손익,"1,416,020","11,326,416","333,143",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         기타영업외비용,"10,900","38,200","9,942,705",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         기타영업외이익,"1,426,920","11,364,616","10,275,848",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,      당기총포괄이익(손실),"8,503,657,476","-14,394,899,760","23,019,937,019",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         기본및희석주당순이익(손실),52,-93,138,
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,      법인세비용,"222,128,603","-665,907","-281,850",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,      영업비용,"20,736,911,529","31,941,525,587","16,149,967,573",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         관계기업투자처분손실,"127,311,546",0,"110,290,318",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         당기손익-공정가치측정금융자산처분손실,"95,496,960","1,954,300","3,067",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         당기손익-공정가치측정금융자산평가손실,"2,116,716,234","577,269,250","2,780,061,708",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         기타영업비용,"21,020","3,000","2,000",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         관계기업투자손실,"5,488,196,570","16,125,107,778","3,110,347,939",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         신용손실충당금 전입액,"17,000","954,264,281",0,
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         일반관리비,"12,753,842,460","13,976,704,636","9,901,882,606",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,         이자비용,"155,309,739","306,222,342","247,379,935",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,      기타포괄손익,"185,187,109","615,242,132","780,536,191",
손익계산서,019550,SBI인베스트먼트,코스닥시장상장법인,642,신탁업 및 집합투자업,KRW,            확정급여제도의재측정요소,"185,187,109","615,242,132","780,536,191",
