재무제표종류,종목코드,회사명,시장구분,업종,업종명,통화,항목명,당기,전기,전전기,Unnamed: 15
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      기초현금및현금성자산,"67,988,718,816","51,799,136,753","87,759,027,856",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,      기말현금및현금성자산,"155,238,417,983","67,988,718,816","51,799,136,753",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         재무활동순현금흐름,"-129,271,573,056","-243,398,492,355","183,316,354,946",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            신종자본증권의 발행,"149,487,602,000",0,0,
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            신종자본증권의 상환,"250,000,000,000",0,0,
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            신종자본증권의 배당,"25,677,863,013","30,187,500,000","31,395,000,000",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            사채의 발행,"648,761,841,800","299,326,663,200","449,177,722,000",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            사채의 상환,"-400,000,000,000","-330,000,000,000","-130,000,000,000",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자기주식의 취득,"-15,999,878,770",0,0,
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            배당금지급,"234,978,636,925","181,681,726,240","103,818,110,080",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            리스부채의 지급,"863,907,908","855,929,315","648,256,974",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            자기주식의 소각 비용,"-730,240",0,0,
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         투자활동순현금흐름,"-107,066,708,490","-53,158,708,640","-424,908,201,342",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            임차보증금의 증감,"-3,558,417,000","222,490,000","-535,993,200",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            당기손익-공정가치금융자산의취득,"100,000,000,000",0,0,
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            종속기업 투자주식의 취득,0,"-50,000,000,000","-420,000,000,000",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            무형자산의 처분,0,0,"309,090,909",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            유형자산의 처분,0,0,"81,496,718",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            무형자산의 취득,"2,763,255,970","1,863,205,270","2,965,405,461",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            유형자산의 취득,"745,035,520","1,517,993,370","1,797,390,308",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,         영업활동순현금흐름,"323,587,980,713","312,746,783,058","205,631,955,293",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,            영업에서 창출된 현금흐름,"-28,917,046,259","-29,520,612,344","-41,552,804,077",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,               영업활동으로 인한 자산 부채의 변동,"3,198,151,798","737,210,964","-7,457,300,466",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  충당부채의 증감,0,"-24,750,000","-193,634,895",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  수취채권의 증감,"-23,378,156","-7,599,033","-40,749,071",
현금흐름표,138930,BNK금융지주,유가증권시장상장법인,649,기타 금융업,KRW,                  기타자산의 증감,"1,190,629,024","68,197,426","-332,570,343",
