status,message,corp_code,접수번호,법인구분,고유번호,법인명,성명,관계,주식종류,기초소유주식 수,기초소유쥬식 지분율,기말소유주식 수,기말소유주식 지분율,비고,결산기준일
000,정상,01601286,20240221001396,E,01601286,미래에셋비전기업인수목적1호,(주)티와이파트너스,본인,,"300,000",92.02,"300,000",4.86,-,2023-12-31
000,정상,01601286,20240221001396,E,01601286,미래에셋비전기업인수목적1호,계,,,"300,000",92.02,"300,000",4.86,-,2023-12-31
000,정상,01601286,20240221001396,E,01601286,미래에셋비전기업인수목적1호,계,,,-,-,-,-,-,2023-12-31
000,정상,01091382,20240408003721,K,01091382,세토피아,(주)에스에이코퍼레이션,최대주주,,"6,833,836",12.78,"7,214,933",9.54,유상증자 신주취득,2023-12-31
000,정상,01091382,20240408003721,K,01091382,세토피아,서상철,대표이사,,0,0.00,"2,469,390",3.26,"유상증자 신주취득
및 장내매수",2023-12-31
000,정상,01091382,20240408003721,K,01091382,세토피아,계,,,"6,833,836",12.78,"9,684,323",12.80,-,2023-12-31
000,정상,01091382,20240408003721,K,01091382,세토피아,계,,,-,-,-,-,-,2023-12-31
000,정상,00585219,20240321002019,Y,00585219,세원이앤씨,범한메카텍(주),최대주주,,0,0.00,"11,682,071",22.14,-,2023-12-31
000,정상,00585219,20240321002019,Y,00585219,세원이앤씨,계,,,-,-,"11,682,071",22.14,-,2023-12-31
000,정상,00585219,20240321002019,Y,00585219,세원이앤씨,계,,,-,-,-,-,-,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,KIM JESSE JAEJIN,본인,,"5,640,680",18.61,"2,976,583",9.79,매도,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,이경준,특수관계인,,"150,000",0.49,"140,000",0.46,매도,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,AHN JAEHEE KIM,특수관계인,,"76,926",0.25,"76,926",0.25,-,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,한상진,미등기임원,,"66,986",0.22,"72,445",0.24,"주식매수선택권행사,
매수",2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,안현덕,등기임원,,"19,085",0.06,"19,085",0.06,-,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,전준성,등기임원,,"17,500",0.06,"19,148",0.06,매수,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,김창정,등기임원,,"4,500",0.02,"19,284",0.06,매수,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,계,,,"5,975,677",19.71,"3,323,471",10.92,-,2023-12-31
000,정상,01274310,20240319000863,K,01274310,이오플로우,계,,,-,-,-,-,-,2023-12-31
000,정상,00161408,20240314000449,E,00161408,케이비캐피탈,KB금융지주,최대주주,,"32,175,147",100.00,"32,175,147",100.00,-,2023-12-31
000,정상,00161408,20240314000449,E,00161408,케이비캐피탈,계,,,"32,175,147",100.00,"32,175,147",100.00,-,2023-12-31
000,정상,00161408,20240314000449,E,00161408,케이비캐피탈,계,,,-,-,-,-,-,2023-12-31
000,정상,00876166,20240315000853,K,00876166,KBG,부태웅,본인,,"2,026,885",24.63,"2,037,019",23.31,자기주식배당,2023-12-31
000,정상,00876166,20240315000853,K,00876166,KBG,김정연,친인척,,"10,000",0.12,"10,050",0.11,자기주식배당,2023-12-31
000,정상,00876166,20240315000853,K,00876166,KBG,김범준,친인척,,"7,000",0.09,"7,035",0.08,자기주식배당,2023-12-31
000,정상,00876166,20240315000853,K,00876166,KBG,이상진,임원,,"70,000",0.85,"34,170",0.39,자기주식배당 및 장내매도,2023-12-31
000,정상,00876166,20240315000853,K,00876166,KBG,부삼열,자,,"321,000",3.90,"322,605",3.69,자기주식배당,2023-12-31
