crop_code,접수번호,사업연도,재무제표구분,계정ID,계정명,계정 상세,2023,2022,2021,계정과목 정렬순서,통화 단위
585219,20240321002019,2023,IS,dart_OperatingIncomeLoss,영업이익(손실),-,-6080222386.0,1819192520.0,-8600109936.0,6,KRW
585219,20240321002019,2023,IS,dart_OtherGains,기타이익,-,6326023109.0,7660867021.0,20570901067.0,7,KRW
585219,20240321002019,2023,IS,dart_OtherLosses,기타손실,-,7512164526.0,14380261880.0,9703288177.0,8,KRW
585219,20240321002019,2023,IS,dart_TotalSellingGeneralAdministrativeExpenses,판매비와관리비,-,10128731315.0,13821575823.0,10429799624.0,9,KRW
585219,20240321002019,2023,IS,-표준계정코드 미사용-,경상연구개발비,-,952913440.0,680472638.0,1313681813.0,10,KRW
585219,20240321002019,2023,IS,-표준계정코드 미사용-,지분법손실,-,-2457330996.0,-8560435784.0,-1495395598.0,11,KRW
585219,20240321002019,2023,IS,ifrs-full_CostOfSales,매출원가,-,125462253584.0,109845984753.0,75831811046.0,12,KRW
585219,20240321002019,2023,IS,ifrs-full_BasicEarningsLossPerShare,기본주당이익(손실),-,-398.0,-2480.0,-10.0,14,KRW
585219,20240321002019,2023,IS,ifrs-full_DilutedEarningsLossPerShare,희석주당이익(손실),-,-398.0,-2480.0,-28.0,15,KRW
585219,20240321002019,2023,IS,ifrs-full_FinanceCosts,금융원가,-,15582827724.0,91308024005.0,11783296728.0,16,KRW
585219,20240321002019,2023,IS,ifrs-full_FinanceIncome,금융수익,-,10728839465.0,12434279467.0,8007496357.0,17,KRW
585219,20240321002019,2023,IS,ifrs-full_GrossProfit,매출총이익,-,5001422369.0,16321240981.0,3143371501.0,18,KRW
585219,20240321002019,2023,IS,ifrs-full_IncomeTaxExpenseContinuingOperations,법인세비용(수익),-,2772709539.0,-6385775041.0,1620409559.0,19,KRW
585219,20240321002019,2023,IS,ifrs-full_ProfitLoss,당기순이익(손실),-,-17350392597.0,-85948607620.0,-1383283456.0,20,KRW
585219,20240321002019,2023,IS,ifrs-full_ProfitLossBeforeTax,법인세비용차감전순이익(손실),-,-14577683058.0,-92334382661.0,-3003693015.0,21,KRW
585219,20240321002019,2023,IS,ifrs-full_Revenue,수익(매출액),-,130463675953.0,126167225734.0,78975182547.0,22,KRW
